Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
1,0,0,1579651200.0,0.0,0.0
2,0,0,1579737600.0,0.0,0.0
3,0,0,1579824000.0,0.0,0.0
4,0,0,1579910400.0,0.0,0.0
5,0,0,1579996800.0,0.0,0.0
6,0,0,1580083200.0,0.0,0.0
7,0,0,1580169600.0,0.0,0.0
8,0,0,1580256000.0,0.0,0.0
9,0,0,1580342400.0,0.0,0.0
10,0,0,1580428800.0,0.0,0.0
11,0,0,1580515200.0,0.0,0.0
12,0,0,1580601600.0,0.0,0.0
13,0,0,1580688000.0,0.0,0.0
14,0,0,1580774400.0,0.0,0.0
15,0,0,1580860800.0,0.0,0.0
16,0,0,1580947200.0,0.0,0.0
17,0,0,1581033600.0,0.0,0.0
18,0,0,1581120000.0,0.0,0.0
19,0,0,1581206400.0,0.0,0.0
20,0,0,1581292800.0,0.0,0.0
21,0,0,1581379200.0,0.0,0.0
22,0,0,1581465600.0,0.0,0.0
23,0,0,1581552000.0,0.0,0.0
24,0,0,1581638400.0,0.0,0.0
25,0,0,1581724800.0,0.0,0.0
26,0,0,1581811200.0,0.0,0.0
27,0,0,1581897600.0,0.0,0.0
28,0,0,1581984000.0,0.0,0.0
29,0,0,1582070400.0,0.0,0.0
30,0,0,1582156800.0,0.0,0.0
31,0,0,1582243200.0,0.0,0.0
32,0,0,1582329600.0,0.0,0.0
33,0,0,1582416000.0,0.0,0.0
34,0,0,1582502400.0,1.0,0.0
35,0,0,1582588800.0,1.0,0.0
36,0,0,1582675200.0,1.0,0.0
37,0,0,1582761600.0,1.0,0.0
38,0,0,1582848000.0,1.0,0.0
39,0,0,1582934400.0,1.0,0.0
40,0,0,1583020800.0,1.0,0.0
41,0,0,1583107200.0,1.0,0.0
42,0,0,1583193600.0,1.0,0.0
43,0,0,1583280000.0,1.0,0.0
44,0,0,1583366400.0,1.0,0.0
45,0,0,1583452800.0,1.0,0.0
46,0,0,1583539200.0,1.0,0.0
47,0,0,1583625600.0,4.0,0.0
48,0,0,1583712000.0,4.0,0.0
49,0,0,1583798400.0,5.0,0.0
50,0,0,1583884800.0,7.0,0.0
51,0,0,1583971200.0,7.0,0.0
52,0,0,1584057600.0,7.0,0.0
53,0,0,1584144000.0,11.0,0.0
54,0,0,1584230400.0,16.0,0.0
55,0,0,1584316800.0,21.0,0.0
56,0,0,1584403200.0,22.0,0.0
57,0,0,1584489600.0,22.0,0.0
58,0,0,1584576000.0,22.0,0.0
59,0,0,1584662400.0,24.0,0.0
60,0,0,1584748800.0,24.0,0.0
61,0,0,1584835200.0,40.0,1.0
62,0,0,1584921600.0,40.0,1.0
63,0,0,1585008000.0,74.0,1.0
64,0,0,1585094400.0,84.0,2.0
65,0,0,1585180800.0,94.0,4.0
66,0,0,1585267200.0,110.0,4.0
67,0,0,1585353600.0,110.0,4.0
68,0,0,1585440000.0,120.0,4.0
69,0,0,1585526400.0,170.0,4.0
70,0,0,1585612800.0,174.0,4.0
71,0,0,1585699200.0,237.0,4.0
72,0,0,1585785600.0,273.0,6.0
73,0,0,1585872000.0,281.0,6.0
74,0,0,1585958400.0,299.0,7.0
75,0,0,1586044800.0,349.0,7.0
76,0,0,1586131200.0,367.0,11.0
77,0,0,1586217600.0,423.0,14.0
78,0,0,1586304000.0,444.0,14.0
79,0,0,1586390400.0,484.0,15.0
80,0,0,1586476800.0,521.0,15.0
81,0,0,1586563200.0,555.0,18.0
82,0,0,1586649600.0,607.0,18.0
83,0,0,1586736000.0,665.0,21.0
84,0,0,1586822400.0,714.0,23.0
85,0,0,1586908800.0,784.0,25.0
86,0,0,1586995200.0,840.0,30.0
87,0,0,1587081600.0,906.0,30.0
88,0,0,1587168000.0,933.0,30.0
89,0,0,1587254400.0,996.0,33.0
115,0,1,1579651200.0,0.0,0.0
116,0,1,1579737600.0,0.0,0.0
117,0,1,1579824000.0,0.0,0.0
118,0,1,1579910400.0,0.0,0.0
119,0,1,1579996800.0,0.0,0.0
120,0,1,1580083200.0,0.0,0.0
121,0,1,1580169600.0,0.0,0.0
122,0,1,1580256000.0,0.0,0.0
123,0,1,1580342400.0,0.0,0.0
124,0,1,1580428800.0,0.0,0.0
125,0,1,1580515200.0,0.0,0.0
126,0,1,1580601600.0,0.0,0.0
127,0,1,1580688000.0,0.0,0.0
128,0,1,1580774400.0,0.0,0.0
