Id,Country_Region,Province_State,Date,ConfirmedCases,Fatalities
1,Afghanistan,,1579651200.0,0.0,0.0
2,Afghanistan,,1579737600.0,0.0,0.0
3,Afghanistan,,1579824000.0,0.0,0.0
4,Afghanistan,,1579910400.0,0.0,0.0
5,Afghanistan,,1579996800.0,0.0,0.0
6,Afghanistan,,1580083200.0,0.0,0.0
7,Afghanistan,,1580169600.0,0.0,0.0
8,Afghanistan,,1580256000.0,0.0,0.0
9,Afghanistan,,1580342400.0,0.0,0.0
10,Afghanistan,,1580428800.0,0.0,0.0
11,Afghanistan,,1580515200.0,0.0,0.0
12,Afghanistan,,1580601600.0,0.0,0.0
13,Afghanistan,,1580688000.0,0.0,0.0
14,Afghanistan,,1580774400.0,0.0,0.0
15,Afghanistan,,1580860800.0,0.0,0.0
16,Afghanistan,,1580947200.0,0.0,0.0
17,Afghanistan,,1581033600.0,0.0,0.0
18,Afghanistan,,1581120000.0,0.0,0.0
19,Afghanistan,,1581206400.0,0.0,0.0
20,Afghanistan,,1581292800.0,0.0,0.0
21,Afghanistan,,1581379200.0,0.0,0.0
22,Afghanistan,,1581465600.0,0.0,0.0
23,Afghanistan,,1581552000.0,0.0,0.0
24,Afghanistan,,1581638400.0,0.0,0.0
25,Afghanistan,,1581724800.0,0.0,0.0
26,Afghanistan,,1581811200.0,0.0,0.0
27,Afghanistan,,1581897600.0,0.0,0.0
28,Afghanistan,,1581984000.0,0.0,0.0
29,Afghanistan,,1582070400.0,0.0,0.0
30,Afghanistan,,1582156800.0,0.0,0.0
31,Afghanistan,,1582243200.0,0.0,0.0
32,Afghanistan,,1582329600.0,0.0,0.0
33,Afghanistan,,1582416000.0,0.0,0.0
34,Afghanistan,,1582502400.0,1.0,0.0
35,Afghanistan,,1582588800.0,1.0,0.0
36,Afghanistan,,1582675200.0,1.0,0.0
37,Afghanistan,,1582761600.0,1.0,0.0
38,Afghanistan,,1582848000.0,1.0,0.0
39,Afghanistan,,1582934400.0,1.0,0.0
40,Afghanistan,,1583020800.0,1.0,0.0
41,Afghanistan,,1583107200.0,1.0,0.0
42,Afghanistan,,1583193600.0,1.0,0.0
43,Afghanistan,,1583280000.0,1.0,0.0
44,Afghanistan,,1583366400.0,1.0,0.0
45,Afghanistan,,1583452800.0,1.0,0.0
46,Afghanistan,,1583539200.0,1.0,0.0
47,Afghanistan,,1583625600.0,4.0,0.0
48,Afghanistan,,1583712000.0,4.0,0.0
49,Afghanistan,,1583798400.0,5.0,0.0
50,Afghanistan,,1583884800.0,7.0,0.0
51,Afghanistan,,1583971200.0,7.0,0.0
52,Afghanistan,,1584057600.0,7.0,0.0
53,Afghanistan,,1584144000.0,11.0,0.0
54,Afghanistan,,1584230400.0,16.0,0.0
55,Afghanistan,,1584316800.0,21.0,0.0
56,Afghanistan,,1584403200.0,22.0,0.0
57,Afghanistan,,1584489600.0,22.0,0.0
58,Afghanistan,,1584576000.0,22.0,0.0
59,Afghanistan,,1584662400.0,24.0,0.0
60,Afghanistan,,1584748800.0,24.0,0.0
61,Afghanistan,,1584835200.0,40.0,1.0
62,Afghanistan,,1584921600.0,40.0,1.0
63,Afghanistan,,1585008000.0,74.0,1.0
64,Afghanistan,,1585094400.0,84.0,2.0
65,Afghanistan,,1585180800.0,94.0,4.0
66,Afghanistan,,1585267200.0,110.0,4.0
67,Afghanistan,,1585353600.0,110.0,4.0
68,Afghanistan,,1585440000.0,120.0,4.0
69,Afghanistan,,1585526400.0,170.0,4.0
70,Afghanistan,,1585612800.0,174.0,4.0
71,Afghanistan,,1585699200.0,237.0,4.0
72,Afghanistan,,1585785600.0,273.0,6.0
73,Afghanistan,,1585872000.0,281.0,6.0
74,Afghanistan,,1585958400.0,299.0,7.0
75,Afghanistan,,1586044800.0,349.0,7.0
76,Afghanistan,,1586131200.0,367.0,11.0
77,Afghanistan,,1586217600.0,423.0,14.0
78,Afghanistan,,1586304000.0,444.0,14.0
115,Albania,,1579651200.0,0.0,0.0
116,Albania,,1579737600.0,0.0,0.0
117,Albania,,1579824000.0,0.0,0.0
118,Albania,,1579910400.0,0.0,0.0
119,Albania,,1579996800.0,0.0,0.0
120,Albania,,1580083200.0,0.0,0.0
121,Albania,,1580169600.0,0.0,0.0
122,Albania,,1580256000.0,0.0,0.0
123,Albania,,1580342400.0,0.0,0.0
124,Albania,,1580428800.0,0.0,0.0
125,Albania,,1580515200.0,0.0,0.0
126,Albania,,1580601600.0,0.0,0.0
127,Albania,,1580688000.0,0.0,0.0
128,Albania,,1580774400.0,0.0,0.0
129,Albania,,1580860800.0,0.0,0.0
130,Albania,,1580947200.0,0.0,0.0
131,Albania,,1581033600.0,0.0,0.0
132,Albania,,1581120000.0,0.0,0.0
133,Albania,,1581206400.0,0.0,0.0
134,Albania,,1581292800.0,0.0,0.0
135,Albania,,1581379200.0,0.0,0.0
136,Albania,,1581465600.0,0.0,0.0
137,Albania,,1581552000.0,0.0,0.0
138,Albania,,1581638400.0,0.0,0.0
139,Albania,,1581724800.0,0.0,0.0
140,Albania,,1581811200.0,0.0,0.0
141,Albania,,1581897600.0,0.0,0.0
142,Albania,,1581984000.0,0.0,0.0
143,Albania,,1582070400.0,0.0,0.0
144,Albania,,1582156800.0,0.0,0.0
145,Albania,,1582243200.0,0.0,0.0
146,Albania,,1582329600.0,0.0,0.0
147,Albania,,1582416000.0,0.0,0.0
148,Albania,,1582502400.0,0.0,0.0
149,Albania,,1582588800.0,0.0,0.0
150,Albania,,1582675200.0,0.0,0.0
151,Albania,,1582761600.0,0.0,0.0
152,Albania,,1582848000.0,0.0,0.0
153,Albania,,1582934400.0,0.0,0.0
154,Albania,,1583020800.0,0.0,0.0
155,Albania,,1583107200.0,0.0,0.0
156,Albania,,1583193600.0,0.0,0.0
157,Albania,,1583280000.0,0.0,0.0
158,Albania,,1583366400.0,0.0,0.0
159,Albania,,1583452800.0,0.0,0.0
160,Albania,,1583539200.0,0.0,0.0
161,Albania,,1583625600.0,0.0,0.0
162,Albania,,1583712000.0,2.0,0.0
163,Albania,,1583798400.0,10.0,0.0
164,Albania,,1583884800.0,12.0,1.0
165,Albania,,1583971200.0,23.0,1.0
166,Albania,,1584057600.0,33.0,1.0
167,Albania,,1584144000.0,38.0,1.0
168,Albania,,1584230400.0,42.0,1.0
169,Albania,,1584316800.0,51.0,1.0
170,Albania,,1584403200.0,55.0,1.0
171,Albania,,1584489600.0,59.0,2.0
172,Albania,,1584576000.0,64.0,2.0
173,Albania,,1584662400.0,70.0,2.0
174,Albania,,1584748800.0,76.0,2.0
175,Albania,,1584835200.0,89.0,2.0
176,Albania,,1584921600.0,104.0,4.0
177,Albania,,1585008000.0,123.0,5.0
178,Albania,,1585094400.0,146.0,5.0
179,Albania,,1585180800.0,174.0,6.0
180,Albania,,1585267200.0,186.0,8.0
181,Albania,,1585353600.0,197.0,10.0
182,Albania,,1585440000.0,212.0,10.0
183,Albania,,1585526400.0,223.0,11.0
184,Albania,,1585612800.0,243.0,15.0
185,Albania,,1585699200.0,259.0,15.0
186,Albania,,1585785600.0,277.0,16.0
187,Albania,,1585872000.0,304.0,17.0
